('011100001', '000011110'): None
('101100001', '000011110'): None
('110100001', '000011110'): None
('111000001', '000011110'): None
('111100000', '000011110'): None
('000000001', '000100000'): 8
('000000010', '000100000'): 7
('000000100', '000100000'): 8
('000001000', '000100000'): 7
('000010000', '000100000'): 8
('001000000', '000100000'): 8
('010000000', '000100000'): 2
('100000000', '000100000'): 6
('000000110', '000100001'): 8
('000001010', '000100001'): 8
('000001100', '000100001'): 8
('000010010', '000100001'): 8
('000010100', '000100001'): 8
('000011000', '000100001'): 8
('001000010', '000100001'): 8
('001000100', '000100001'): 8
('001001000', '000100001'): 8
('001010000', '000100001'): 8
('010000010', '000100001'): 6
('010000100', '000100001'): 8
('010001000', '000100001'): 8
('010010000', '000100001'): 8
('011000000', '000100001'): 4
('100000010', '000100001'): 7
('100000100', '000100001'): 7
('100001000', '000100001'): 7
('100010000', '000100001'): 7
('101000000', '000100001'): 4
('110000000', '000100001'): 3
('000000101', '000100010'): 8
('000001001', '000100010'): 8
('000001100', '000100010'): 8
('000010001', '000100010'): 8
('000010100', '000100010'): 8
('000011000', '000100010'): 8
('001000001', '000100010'): 8
('001000100', '000100010'): 8
('001001000', '000100010'): 8
('001010000', '000100010'): 8
('010000001', '000100010'): 8
('010000100', '000100010'): 8
('010001000', '000100010'): 6
('010010000', '000100010'): 8
('011000000', '000100010'): 4
('100000001', '000100010'): 7
('100000100', '000100010'): 7
('100001000', '000100010'): 7
('100010000', '000100010'): 7
('101000000', '000100010'): 7
('110000000', '000100010'): 0
('000011100', '000100011'): 8
('001001100', '000100011'): 4
('001010100', '000100011'): 8
('001011000', '000100011'): 8
('010001100', '000100011'): 4
('010010100', '000100011'): 6
('010011000', '000100011'): 2
('011000100', '000100011'): 4
('011001000', '000100011'): 4
('011010000', '000100011'): 2
('100001100', '000100011'): 4
('100010100', '000100011'): 6
('100011000', '000100011'): 2
('101000100', '000100011'): 4
('101001000', '000100011'): 4
('101010000', '000100011'): 2
('110000100', '000100011'): 6
('110001000', '000100011'): 6
('110010000', '000100011'): 3
('111000000', '000100011'): 4
('000000011', '000100100'): 8
('000001001', '000100100'): 8
('000001010', '000100100'): 8
('000010001', '000100100'): 8
('000010010', '000100100'): 8
('000011000', '000100100'): 8
('001000001', '000100100'): 8
('001000010', '000100100'): 8
('001001000', '000100100'): 8
('001010000', '000100100'): 8
('010000001', '000100100'): 8
('010000010', '000100100'): 6
('010001000', '000100100'): 8
('010010000', '000100100'): 6
('011000000', '000100100'): 4
('100000001', '000100100'): 7
('100000010', '000100100'): 7
('100001000', '000100100'): 7
('100010000', '000100100'): 7
('101000000', '000100100'): 7
('110000000', '000100100'): 4
('000011010', '000100101'): 8
('001001010', '000100101'): 4
('001010010', '000100101'): 8
('001011000', '000100101'): 8
('010001010', '000100101'): 4
('010010010', '000100101'): 6
('010011000', '000100101'): 6
('011000010', '000100101'): 4
